0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,(mcg),,,(mg),(mg),(mg),,(mg),,(mcg),(mcg),,(mg)
,,,,,(mcg),,,,(mg),,(mcg),,,,
Cereais e leguminosas,,,,,,,,,,,,,,,
"Arroz (polido, parboilizado, agulha, agulhinha, etc.)",99,Não se aplica,,-,-,-,-,-,-,-,-,-,,-,"0,08"
Arroz integral,99,Não se aplica,,-,-,"0,08",-,-,-,"0,08",-,-,,-,"0,08"
Milho (em grão),1,Cru(a),,-,"13,17","0,22","0,07","1,61","2,00","0,06",-,"46,00",,-,"0,57"
Milho (em grão),2,Cozido(a),,-,"13,17","0,22","0,07","1,61","2,00","0,06",-,"46,00",,-,"0,57"
Milho (em grão),3,Grelhado(a)/brasa/churrasco,,-,"13,17","0,22","0,07","1,61","2,00","0,06",-,"46,00",,-,"0,57"
Milho (em grão),4,Assado(a),,-,"13,17","0,22","0,07","1,61","2,00","0,06",-,"46,00",,-,"0,57"
Milho (em grão),7,Refogado(a),,-,"13,17","0,22","0,07","1,61","2,00","0,06",-,"46,00",,-,"0,57"
Milho (em grão),13,Ensopado,,-,"13,17","0,22","0,07","1,61","2,00","0,06",-,"46,00",,-,"0,57"
Milho (em grão),99,Não se aplica,,-,"13,17","0,22","0,07","1,61","2,00","0,06",-,"46,00",,-,"0,57"
Canjiquinha de milho em grão,1,Cru(a),,-,"1,83","0,11","0,07","0,91","1,02","0,03",-,"20,81",,-,"0,18"
Canjiquinha de milho em grão,2,Cozido(a),,-,"1,83","0,11","0,07","0,91","1,02","0,03",-,"20,81",,-,"0,03"
Canjiquinha de milho em grão,13,Ensopado,,-,"1,83","0,11","0,07","0,91","1,02","0,03",-,"20,81",,-,"0,18"
Canjiquinha de milho em grão,14,Mingau,,-,"1,83","0,11","0,07","0,91","1,02","0,03",-,"20,81",,-,"0,03"
Canjiquinha de milho em grão,15,Sopa,,-,"33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28",,-,"0,20"
Canjiquinha de milho em grão,99,Não se aplica,,-,"1,83","0,11","0,07","0,91","1,02","0,03",-,"20,81",,-,"0,03"
Xerém de milho,99,Não se aplica,,-,"1,83","0,11","0,07","0,91","1,02","0,03",-,"20,81",,-,"0,03"
Amendoim (em grão) in natura,99,Não se aplica,,-,-,"0,64","0,14","12,07","16,23","0,35",-,"240,00",,-,"8,33"
Ervilha em grão,99,Não se aplica,,-,"40,08","0,26","0,15","2,02","2,64","0,22",-,"63,00",,-,"0,37"
Fava (em grão),99,Não se aplica,,-,"18,83","0,13","0,09","1,20","2,00","0,03",-,"58,00",,-,"0,34"
Mangalô amargo em grão,99,Não se aplica,,-,"18,83","0,13","0,09","1,20","2,00","0,03",-,"58,00",,-,"0,34"
Feijão-de-corda,99,Não se aplica,,-,"39,58","0,10","0,15","1,40","2,02","0,07",-,"127,00",,-,"0,45"
Feijão-verde,99,Não se aplica,,-,"39,58","0,10","0,15","1,40","2,02","0,07",-,"127,00",,-,"0,45"
Semente de linhaça,99,Não se aplica,,-,-,"1,64","0,16","3,08","8,03","0,47",-,"87,00",,-,"0,31"
Andu,99,Não se aplica,,-,-,"0,07","0,03","0,08","1,23","0,06",-,"48,60",,-,"0,69"
Grão de bico,99,Não se aplica,,-,"1,33","0,12","0,06","0,53","1,94","0,14",-,"172,00",,-,"0,58"
Lentilha,99,Não se aplica,,-,"0,42","0,17","0,07","1,06","2,41","0,18",-,"181,00",,-,"0,30"
Soja em grão,99,Não se aplica,,-,"0,42","0,16","0,29","0,40","4,43","0,23",-,"54,00",,-,"0,57"
"Feijão (preto, mulatinho, roxo, rosinha, etc.)",99,Não se aplica,,-,-,"0,07","0,03","0,08","1,23","0,06",-,"48,60",,-,"0,69"
Quirera não especificada,99,Não se aplica,,-,"1,83","0,11","0,07","0,91","1,02","0,03",-,"20,81",,-,"0,03"
Feijão-verde orgânico,99,Não se aplica,,-,"39,58","0,10","0,15","1,40","2,02","0,07",-,"127,00",,-,"0,45"
Feijão orgânico,99,Não se aplica,,-,-,"0,07","0,03","0,08","1,23","0,06",-,"48,60",,-,"0,69"
Pipoca  light,99,Não se aplica,,-,"8,19","0,09","0,07","1,92","3,10","0,13",-,"25,81",,-,"1,24"
